Time,Date,CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
16:48:10,19/04/2021,J0122,,JALAN KAYU OFF STREET,1.3988702481648212 103.87298020876878,178,C,URA
16:48:10,19/04/2021,K0037,,KING GEORGES AVENUE OFF STREET,1.3102875316446452 103.86155503310928,2,C,URA
16:48:10,19/04/2021,K0039,,KING GEORGES AVENUE/ HORNE ROAD OFF STREET,1.310011717603521 103.86195254067123,7,C,URA
16:48:10,19/04/2021,K0082,,KAMPONG BUGIS OFF STREET,1.3060643999336945 103.86731520521826,100,C,URA
16:48:10,19/04/2021,K0082,,KAMPONG BUGIS OFF STREET,1.3060643999336945 103.86731520521826,5,Y,URA
16:48:10,19/04/2021,K0111,,KINTA ROAD OFF STREET,1.309743436667126 103.8532569434198,78,C,URA
16:48:10,19/04/2021,K0111,,KINTA ROAD OFF STREET,1.309743436667126 103.8532569434198,7,Y,URA
16:48:10,19/04/2021,K0121,,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294 103.8540518138273,9,Y,URA
16:48:10,19/04/2021,K0121,,KAMPONG KAPOR ROAD OFF STREET,1.306579163961294 103.8540518138273,0,C,URA
16:48:10,19/04/2021,L0064,,LORONG 21 GEYLANG OFF STREET,1.3138418922590445 103.87984207773486,13,C,URA
16:48:10,19/04/2021,L0078,,LORONG MYDIN OFF STREET,1.3191579615926596 103.91187813269345,0,C,URA
16:48:10,19/04/2021,L0104,,LORONG BEKUKONG OFF STREET,1.3902114129018883 103.98732091158162,131,C,URA
16:48:10,19/04/2021,L0104,,LORONG BEKUKONG OFF STREET,1.3902114129018883 103.98732091158162,17,Y,URA
16:48:10,19/04/2021,L0107,,LORONG BACHOK OFF STREET,1.3137312534590921 103.879441454655,11,C,URA
16:48:10,19/04/2021,L0116,,LORONG 21 GEYLANG / GEYLANG ROAD OFF ST,1.31297192802134 103.88051592242522,10,C,URA
16:48:10,19/04/2021,L0117,,LORONG 25/25A GEYLANG OFF STREET,1.3154114085899413 103.88282913196923,12,C,URA
