weekdayRate,ppCode,ppName,sunPHRate
$0.60,G0043,GOODLINK PARK / JALAN MATA AYER OFF STREET,$0.60
$0.60,H0003,HAMILTON ROAD OFF STREET,$0.60
$0.60,H0003,HAMILTON ROAD OFF STREET,$0.60
$0.60,H0004,HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,$0.60
$0.60,H0004,HOLLAND DR/NORTH BOUNA VISTA RD OFF STREET,$0.60
$1.20,H0007,HULLET ROAD ,$0.60
$0.60,H0007,HULLET ROAD ,$0.60
$0.60,H0007,HULLET ROAD ,$0.60
$0.60,H0011,HOLLAND DRIVE OFF STREET,$0.60
$0.60,H0011,HOLLAND DRIVE OFF STREET,$0.60
$1.20,H0012,HONG KONG STREET ,$0.60
$0.60,H0012,HONG KONG STREET ,$0.60
$0.60,H0015,HINDOO ROAD OFF STREET ,$0.60
$0.60,H0015,HINDOO ROAD OFF STREET ,$0.60
$1.20,H0022,HULLET ROAD OFF STREET ,$0.60
$0.60,H0022,HULLET ROAD OFF STREET ,$0.60
$0.60,H0022,HULLET ROAD OFF STREET ,$0.60
$1.20,H0024,HONG LIM PARK OFF STREET,$0.60
$0.60,H0024,HONG LIM PARK OFF STREET,$0.60
$0.60,H0024,HONG LIM PARK OFF STREET,$0.60
$0.60,H0028,HAMILTON ROAD ,$0.60
$0.60,H0037,HORNE ROAD ,$0.60
$0.60,H0057,HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,$0.60
$0.60,H0057,HINDOO ROAD/KAMPONG KAPOR ROAD OFF STREET,$0.60
$0.60,J0001,JALAN BERSEH ,$0.60
$0.60,J0003,JALAN BESAR ,$0.60
$0.60,J0006,JALAN KLAPA ,$0.60
$0.60,J0008,JALAN KLEDEK ,$0.60
$0.60,J0009,JALAN KUBOR (NORTH BRIDGE RD/VICTORIA ST),$0.60
$0.60,J0012,JALAN PISANG ,$0.60
$0.60,J0015,JALAN BINCHANG ,$0.60
$0.60,J0015,JALAN BINCHANG ,$0.60
$0.60,J0017,JOO CHIAT ROAD OFF STREET,$0.60
$0.60,J0017,JOO CHIAT ROAD OFF STREET,$0.60
$1.20,J0018,JIAK CHUAN ROAD ,$0.60
$0.60,J0018,JIAK CHUAN ROAD ,$0.60
$0.60,J0022,JALAN PINANG ,$0.60
$0.60,J0029,JALAN SULTAN ,$0.60
$0.60,J0034,JALAN LEGUNDI ,$0.60
$0.60,J0035,JALAN TAMPANG ,$0.60
$0.60,J0036,JALAN DERUM ,$0.60
$0.60,J0049,JELLICOE ROAD ,$0.60
$0.60,J0050,JALAN MAS KUNING ,$0.60
$0.60,J0050,JALAN MAS KUNING ,$0.60
$0.60,J0051,JALAN MAS PUTEH ,$0.60
$0.60,J0051,JALAN MAS PUTEH ,$0.60
$0.60,J0054,JALAN BESAR / BEATTY ROAD OFF STREET,$0.60
$0.60,J0055,JALAN SEH CHUAN OFF STREET,$0.60
$0.60,J0055,JALAN SEH CHUAN OFF STREET,$0.60
$0.60,J0056,JALAN SEH CHUAN/LORONG KILAT OFF STREET,$0.60
$0.60,J0057,JALAN DUSUN ,$0.60
$0.60,J0058,JALAN KEMAMAN ,$0.60
$0.60,J0059,JALAN RAJA UDANG ,$0.60
$0.60,J0060,JALAN RAMA RAMA ,$0.60
$0.60,J0062,JALAN AMPAS ,$0.60
$0.60,J0069,JOO AVENUE ,$0.60
$0.60,J0075,JAGO CLOSE ,$0.60
$0.60,J0092,JALAN KURAS OFF STREET ,$0.60
$0.60,J0092,JALAN KURAS OFF STREET ,$0.60
$0.60,J0097,JALAN KUBOR (VICTORIA ST/ROCHOR CANAL RD),$0.60
$0.60,J0099,JALAN BAHAR HEAVY VEHICLE PARK,$0.60
$0.60,J0099,JALAN BAHAR HEAVY VEHICLE PARK,$0.60
$0.60,J0100,JALAN PELEPAH OFF STREET,$0.60
$0.60,J0100,JALAN PELEPAH OFF STREET,$0.60
$0.60,J0102,JOO CHIAT ROAD (CHANGI ROAD/EAST COAST ROAD),$0.60
$0.60,J0104,JOO CHIAT PLACE ,$0.60
$0.60,J0106,JOO CHIAT LANE ,$0.60
$0.60,J0122,JALAN KAYU OFF STREET ,$0.60
$0.60,J0122,JALAN KAYU OFF STREET ,$0.60
$0.60,J0127,JALAN PENJARA ,$0.60
$0.60,J0127,JALAN PENJARA ,$0.60
$0.60,J0128,JALAN KLEDEK OFF STREET,$0.60
$0.60,J0130,JOO CHIAT TERRACE (JOO CHIAT RD/TEMBELING RD),$0.60
$0.60,J0132,JALAN PENJARA OFF STREET,$0.60
$0.60,J0132,JALAN PENJARA OFF STREET,$0.60
$0.60,K0005,KANDAHAR STREET ,$0.60
$0.60,K0006,KAKI BUKIT ROAD 1 ,$0.60
$1.20,K0008,KEONG SAIK ROAD ,$0.60
$0.60,K0008,KEONG SAIK ROAD ,$0.60
$0.60,K0009,KERBAU ROAD ,$0.60
$1.20,K0010,KILLINEY ROAD ,$0.60
$0.60,K0010,KILLINEY ROAD ,$0.60
$0.60,K0011,KINTA ROAD ,$0.60
$0.60,K0013,KITCHENER ROAD ,$0.60
